Index number: 2
Stimuli file: deviantart_limo_ad.png
786 365 false
744 432 false
669 540 false
682 513 false
696 542 false
699 526 false
698 531 false
703 531 true
566 595 false
173 744 false
294 697 false
75 775 false
-11 805 false
-81 829 false
-311 876 false
-281 881 false
-293 875 false
-299 875 false
-293 871 false
-300 872 false
-296 869 true
-296 869 true
-293 873 true
-292 873 true
-295 872 true
-297 873 true
-298 873 true
-300 876 true
-300 877 true
-301 880 true
-301 881 true
-302 880 true
-305 882 true
-309 884 true
-311 886 true
-313 887 true
-315 887 true
-318 888 true
-320 889 true
-322 890 true
-323 890 true
-321 890 true
540 712 false
126 878 false
691 642 false
756 643 false
795 622 false
814 623 false
902 579 false
894 525 false
899 549 false
902 560 false
893 577 false
894 582 false
899 578 true
1136 423 false
1074 362 false
1074 394 false
1075 378 false
1075 350 false
1076 354 false
1078 340 true
1078 341 true
1082 338 true
1081 336 true
1084 339 true
1086 344 true
1085 344 true
1085 341 true
1083 344 true
1083 343 true
1083 349 true
1082 356 true
1081 361 true
1082 362 true
1082 359 true
1083 361 true
1081 368 true
1081 367 true
1080 370 true
1081 373 true
952 278 false
1014 243 false
954 209 false
948 212 false
947 216 false
951 209 false
952 213 true
951 219 true
950 216 true
951 216 true
951 222 true
951 225 true
950 217 true
955 220 true
1199 334 false
1246 289 false
1234 306 false
1243 288 false
1250 275 false
1242 287 true
1243 292 true
1242 288 true
1241 297 true
1236 305 true
1234 314 true
1233 319 true
1232 316 true
1229 318 true
1228 321 true
1227 331 true
1227 328 true
1228 327 true
1228 326 true
1230 323 true
1226 328 true
1227 327 true
1225 331 true
1225 334 true
1226 337 true
1227 341 true
1228 339 true
1227 341 true
1228 340 true
1223 338 true
950 213 false
974 211 false
941 207 false
942 213 false
943 191 false
941 193 true
942 197 false
940 197 true
940 189 true
941 184 true
944 186 true
944 188 true
944 187 true
942 182 true
944 186 true
1190 219 false
1180 293 false
1170 263 false
1175 262 false
1178 256 false
1178 267 false
1177 253 true
1173 255 true
1172 259 true
1175 255 true
1175 257 true
1178 254 true
1179 254 true
1178 254 true
1177 261 true
1178 260 true
1179 256 true
1177 260 true
1177 263 true
1176 264 true
1177 261 true
1177 258 true
1178 259 true
1176 253 true
1176 258 true
1174 261 true
1173 259 true
1174 262 true
1173 264 true
1172 262 true
1168 259 true
1170 262 true
1168 259 true
1168 258 true
1165 261 true
1163 265 true
1161 263 true
1162 263 true
1161 260 true
1161 263 true
1160 259 true
1159 258 true
1159 259 true
1159 262 true
1159 263 true
1159 261 true
1161 259 true
